Building Type,Floors,Median (S_a),Standard Deviation
Steel,Low-rise,0.4,0.6
Steel,Mid-rise,0.55,0.6
Steel,High-rise,0.7,0.6
Reinforced Concrete,Low-rise,0.45,0.6
Reinforced Concrete,Mid-rise,0.6,0.6
Reinforced Concrete,High-rise,0.8,0.6
Masonry,Low-rise,0.35,0.6
Masonry,Mid-rise,0.5,0.6
Masonry,High-rise,0.7,0.6
