Building Type,Floors,Median (S_a),Standard Deviation
Wood,1-2,0.35,0.6
Wood,3,0.5,0.6
Masonry,1-2,0.25,0.6
Masonry,3,0.45,0.6
Reinforced Concrete,1-2,0.3,0.6
Reinforced Concrete,3,0.55,0.6
Steel,1-2,0.4,0.6
Steel,3,0.65,0.6
